cell_type,concentration,n_distinguishable,top_markers
3,0.006590750868872473,4,"[377, 723, 217, 491, 657, 1007, 1100, 911, 709, 293]"
3,0.007696669794067008,7,"[723, 1054, 217, 491, 657, 1007, 1100, 911, 709, 293]"
3,0.008988160392874619,16,"[1054, 723, 657, 217, 1007, 491, 1100, 911, 293, 709]"
3,0.010496361336732254,21,"[1054, 921, 723, 217, 657, 491, 1100, 911, 293, 709]"
3,0.012257636323289026,27,"[1054, 723, 657, 217, 491, 1007, 1100, 911, 709, 293]"
3,0.014314450828613578,40,"[921, 723, 657, 1007, 217, 491, 1100, 911, 293, 709]"
3,0.01671639597721523,53,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.019521384216045566,62,"[571, 723, 217, 1007, 657, 491, 1100, 911, 709, 293]"
3,0.022797045620951938,67,"[723, 1054, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.026622358501432165,75,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 293, 709]"
3,0.031089553618622864,77,"[119, 723, 217, 657, 1007, 491, 1100, 911, 293, 709]"
3,0.03630633792844572,78,"[723, 1054, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.042398491465793026,78,"[119, 723, 217, 1007, 657, 491, 1100, 911, 709, 293]"
3,0.04951289998230568,78,"[1054, 657, 723, 217, 1007, 491, 1100, 911, 709, 293]"
3,0.05782109645659659,78,"[921, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.06752339686501559,78,"[1054, 723, 217, 657, 491, 1007, 1100, 911, 709, 293]"
3,0.0788537299290565,78,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.09208527728773268,82,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.10753706008311428,83,"[119, 723, 217, 657, 1007, 491, 1100, 911, 293, 709]"
3,0.12558163076585405,88,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.14665405557509434,97,"[1054, 723, 217, 657, 1007, 491, 1100, 911, 709, 293]"
3,0.17126240426614048,104,"[119, 723, 217, 657, 491, 1007, 1100, 911, 709, 293]"
3,0.20000000000000004,141,"[1054, 723, 217, 657, 491, 1007, 1100, 911, 709, 293]"
4,0.0001,0,"[1097, 180, 448, 654, 65, 926, 557, 116, 674, 1088]"
4,0.0001167798623737652,0,"[757, 627, 731, 1054, 749, 1010, 445, 606, 722, 621]"
4,0.0001363753625603554,0,"[371, 439, 798, 178, 720, 759, 510, 808, 1077, 647]"
4,0.00015925896070970654,0,"[506, 229, 750, 407, 1115, 247, 861, 1094, 80, 56]"
4,0.00018598239513468407,0,"[860, 1029, 559, 1126, 905, 490, 393, 340, 778, 999]"
4,0.00021718998507771627,0,"[121, 612, 229, 675, 750, 56, 105, 224, 1040, 902]"
4,0.0002536341656633582,0,"[748, 509, 269, 716, 437, 1050, 945, 853, 597, 800]"
4,0.00029619362959451735,0,"[1112, 137, 1141, 140, 1067, 306, 5, 731, 955, 256]"
4,0.00034589451300033727,0,"[640, 657, 722, 9, 312, 763, 921, 478, 571, 42]"
4,0.00040393513624019926,0,"[711, 377, 1096, 511, 134, 1117, 574, 149, 1071, 903]"
4,0.0004717148961805861,0,"[968, 44, 743, 1052, 459, 41, 931, 546, 253, 370]"
4,0.0005508680065562379,0,"[437, 134, 522, 796, 508, 376, 113, 826, 336, 728]"
4,0.0006433028999174784,0,"[1072, 1086, 690, 1094, 311, 724, 789, 191, 168, 596]"
4,0.0007512482411700718,0,"[764, 1025, 575, 771, 179, 1055, 473, 169, 251, 320]"
4,0.0008773066621237416,0,"[902, 56, 33, 224, 1049, 411, 847, 572, 1143, 64]"
4,0.0010245175126239797,0,"[902, 263, 934, 131, 238, 1096, 574, 1031, 129, 411]"
4,0.0011964301412374049,0,"[945, 595, 597, 436, 665, 264, 50, 129, 131, 411]"
4,0.0013971894723352873,0,"[19, 1037, 180, 809, 654, 674, 894, 1110, 926, 925]"
4,0.001631635942893885,0,"[133, 511, 1031, 309, 126, 574, 131, 840, 411, 129]"
4,0.0019054222085523648,0,"[219, 861, 1094, 309, 131, 840, 133, 1031, 411, 129]"
4,0.002225149432786609,0,"[487, 309, 49, 840, 123, 1031, 131, 839, 411, 129]"
